Document_ID1	Document_ID2	Similarity
14802	9970	0.8271334767341614
1108	14126	0.7768592834472656
1055	14126	0.7405114769935608
1055	1108	0.7324972152709961
13982	13983	0.7473025321960449
8696	434	0.7414367198944092
11441	14887	0.7779847383499146
9190	9144	0.9040185213088989
888	895	0.812383234500885
14329	3312	0.7879339456558228
13347	8943	0.7657214999198914
6435	6183	0.8920724391937256
7809	7811	0.8018179535865784
6095	9923	0.7368279695510864
9956	14802	0.7373982667922974
8719	434	0.787867546081543
8719	8696	0.7684659361839294
13396	15233	0.7303126454353333
13996	2393	0.7993770837783813
703	687	0.7073156833648682
8391	111	0.7085803151130676
6444	6451	0.7180694937705994
10098	10096	0.7120468020439148
3264	434	0.8198538422584534
3264	8696	0.7346000075340271
3264	8719	0.8170536756515503
8716	434	0.7701601982116699
8716	8696	0.7760865092277527
8716	8719	0.8947754502296448
8716	3264	0.7875024080276489
2281	2272	0.806782066822052
303	299	0.7118575572967529
120	111	0.7546645998954773
9873	6132	0.7191089391708374
4284	1840	0.7080304622650146
9947	9948	0.8919612169265747
889	895	0.7247714996337891
889	888	0.7044637799263
4267	8926	0.7968174815177917
2817	2827	0.7546296715736389
14873	11134	0.9126560091972351
11309	11304	0.7704725861549377
3313	3314	0.7006711959838867
3246	434	0.7675769329071045
3246	8719	0.7432123422622681
3246	3264	0.7744265794754028
3246	8716	0.7179641723632812
14237	2367	0.9300435781478882
3471	3444	0.7214817404747009
1901	1880	0.7309213280677795
14702	14707	0.9359029531478882
613	1840	0.8176537752151489
613	4363	0.719315767288208
613	4284	0.8255119919776917
4179	4162	0.7251620888710022
5342	5340	0.9637855291366577
2749	3737	0.731563150882721
2454	2455	0.7643768191337585
2985	8579	0.8026679754257202
11476	11471	0.7926744222640991
8217	14701	0.7665106058120728
6107	6116	0.7166014909744263
6319	15211	1.0000001192092896
9964	9976	0.7320982217788696
9832	9833	0.7109230160713196
6977	6973	0.7579006552696228
1073	14126	0.7955056428909302
1073	1108	0.749717116355896
1073	1055	0.7621349692344666
8795	11471	0.8236348628997803
8795	11476	0.7740662097930908
7842	7608	0.8849292993545532
1118	1117	0.7968816161155701
11125	11134	0.8819457292556763
11125	14873	0.8095877766609192
7575	9415	0.722134530544281
11487	11476	0.7678282856941223
3316	3314	0.9150540232658386
1151	1123	0.7474127411842346
5474	9923	0.7183555960655212
5474	6095	0.7077676653862
2501	2503	0.8573845624923706
2400	2386	0.9102458357810974
14704	14701	0.7213397026062012
1013	1017	0.7316555380821228
2284	2287	0.8445814847946167
3063	3056	0.7049872279167175
10099	10098	0.7531816959381104
6865	6859	0.7183137536048889
11478	11471	0.7518198490142822
11478	11476	0.847429096698761
11478	8795	0.8389946222305298
11478	11487	0.8443424105644226
3026	3018	1.000000238418579
2511	13982	0.7044269442558289
4884	14436	0.7429478168487549
7885	13926	0.8038778305053711
3014	3008	0.7230410575866699
1759	1788	0.7352858185768127
9912	5963	0.7202679514884949
9912	5954	0.8204870820045471
4815	4834	1.0000001192092896
6903	6889	0.8925185203552246
15130	1545	0.7244110107421875
718	727	0.7267856597900391
2608	2386	0.7511872053146362
2608	2400	0.7718604207038879
424	414	1.0
9812	14785	0.7302924990653992
7399	7412	0.7511336803436279
9692	10946	0.7597183585166931
11311	11303	0.9027968049049377
