Statistic Measure,SVM(BoW),Random Forest(BoW),SVM(SVD),Random Forest(SVD),SVM(D2V),Random Forest(D2V),SVM(TF-IDF)
Accuracy,0.9601326063516501,0.948883202973871,0.9537736438560875,0.9464368192025271,0.9519800545369215,0.9465995524834774,0.9696717148551288
Precision,0.9576556323082379,0.948709180353123,0.9508153720872345,0.9442637884446572,0.9483627198250888,0.942742842082961,0.9675480440032489
Recall,0.956493680834275,0.9386575664281255,0.9505094756933803,0.9396002181797323,0.9477991231839521,0.9415071662790112,0.9673143090977119
F-Measure,0.9568691421389319,0.9426359466816908,0.9505324856580982,0.9415474671630794,0.9479205969576971,0.9419726945303438,0.9673256938497484
